Date de modification de la donnée;IDENT PARKING;Nom du parking;Propriétaire;Titulaire du contrat;Exploitant;Type de gestion;Secteur;INSEE Commune;Commune;IDENT EQUIPEMENT PUBLIC;Année de mise en service;Type de construction;Nombre de niveaux;Places Hors gabarit < 3.5T;Places Hors gabarit > 3.5T;Nombre de places utilisées en fourrière;Potentiel global : Parking + Parc Relais + Fourrière;Total de places en Parking ou Parc Relais;Dont max de places utilisées en parc-relais;Dont places PMR;Dont places VL électrique;Dont places Autopartage ou Autocool ou Citiz;Dont Covoiturage;Et dont places pour station de lavage;Places 2 roues à moteur;Dont 2 roues à moteur électrique;Total places vélo;Dont Places vélo électrique
2024-03-29;CUBPK103;Les Bassins - Indigo park;AUTRE;INDIGO_PARK;INDIGO_PARK;GESTION_PRIVEE;CENTRE;33063;BORDEAUX;Apreciser103;2021;SILO;5;0;0;0;424;424;0;15;3;0;0;0;0;0;56;0
2024-03-29;CUBPK104;Brienne - Indigo park;AUTRE;INDIGO_PARK;INDIGO_PARK;GESTION_PRIVEE;CENTRE;33063;BORDEAUX;Apreciser104;2021;SILO;5;0;0;0;363;363;0;9;6;0;0;0;20;0;0;0
2023-11-21;CUBPK97;PARC-RELAIS CANTINOLLE - TBM Keolis;BORDEAUX_METROPOLE;TBM;KEOLIS;DELEGATION_DE_SERVICE_PUBLIC_POUR_BORDEAUX_METROPOLE;PERIPHERIE;33162;EYSINES;Apreciser97;2020;SILO;4;0;0;0;656;656;656;12;20;0;0;0;17;0;24;0
2023-11-21;CUBPK98;PARC-RELAIS DE L'HIPPODROME -TBM Keolis;BORDEAUX_METROPOLE;TBM;KEOLIS;DELEGATION_DE_SERVICE_PUBLIC_POUR_BORDEAUX_METROPOLE;PERIPHERIE;33069;LE BOUSCAT;Apreciser98;2020;SURFACE;1;0;0;0;240;240;240;7;5;0;0;0;0;0;32;0
2024-07-23;CUBPK94;P4 BELCIER -  GARE SAINT JEAN - Indigo park;SNCF;INDIGO_INFRA_FRANCE;INDIGO_PARK;AUTORISATION_OCCUPATION_TEMPORAIRE;CENTRE;33063;BORDEAUX;5681;2019;SILO;6;0;0;0;765;765;0;16;11;0;0;0;37;0;19;0
2023-04-24;CUBPK86;CARREFOUR - SAINT JEAN - Transdev park;AUTRE;AUTRE;INDIGO_TPS;GESTION_PRIVEE;CENTRE;33063;BORDEAUX;063J2569;2018;SURFACE;1;137;0;0;137;137;0;3;0;0;0;0;0;0;0;0
2024-04-17;CUBPK82;FLOIRAC ARENA - Metpark;METPARK;METPARK;METPARK;REGIE_AUTONOME;PERIPHERIE;33167;FLOIRAC;167J0076;2018;SILO;5;0;0;0;961;961;400;25;12;0;0;0;0;0;0;0
2023-11-21;CUBPK88;PARC-RELAIS CAP METIERS - TBM Keolis;BORDEAUX_METROPOLE;TBM;KEOLIS;DELEGATION_DE_SERVICE_PUBLIC_POUR_BORDEAUX_METROPOLE;PERIPHERIE;33318;PESSAC;318J2526;2018;SILO;1;0;0;0;144;144;144;7;4;0;5;0;0;0;28;6
2024-01-16;CUBPK110;Park Cars tourisme allees de Bristol Metpark;BORDEAUX_METROPOLE;METPARK;METPARK;REGIE_AUTONOME;HYPER_CENTRE;33063;BORDEAUX;Apreciser110;2018;ENCLOS;1;0;12;0;12;0;0;0;0;0;0;0;0;0;0;0
2024-02-04;CUBPK80;CITE DU VIN - Interparking;INTERPARKING;INTERPARKING;INTERPARKING;GESTION_PRIVEE;CENTRE;33063;BORDEAUX;063J2560;2017;SILO;7;0;0;0;405;405;0;9;21;0;0;0;13;4;93;4
