Geo Point;Geo Shape;gid;geom_err;typologie;cdate;mdate;nom_commune;code_commune
44.757690069357935, -0.6249932329025482;"{""coordinates"": [[[-0.6250064, 44.7576781], [-0.6249912, 44.7576751], [-0.6249802, 44.7577025], [-0.6249951, 44.7577049], [-0.6250064, 44.7576781]]], ""type"": ""Polygon""}";756733;;VT;2022-12-16T08:40:01+01:00;2022-12-16T08:40:19+01:00;Gradignan;33192
44.88804691756487, -0.5172090969061873;"{""coordinates"": [[[-0.5171975, 44.8880594], [-0.5172156, 44.8880614], [-0.517221, 44.8880348], [-0.5172023, 44.8880324], [-0.5171975, 44.8880594]]], ""type"": ""Polygon""}";757022;;VT;2022-12-19T12:54:55+01:00;2022-12-19T12:55:32+01:00;Bassens;33032
44.8713054290036, -0.5076034111655089;"{""coordinates"": [[[-0.5076161, 44.8713241], [-0.5076073, 44.8712851], [-0.5075909, 44.8712873], [-0.5075991, 44.871325], [-0.5076161, 44.8713241]]], ""type"": ""Polygon""}";757202;;VT;2022-12-19T13:21:57+01:00;2022-12-19T13:22:20+01:00;Lormont;33249
44.85793804667325, -0.5308711279124353;"{""coordinates"": [[[-0.5308504, 44.8579413], [-0.530864, 44.857953], [-0.5308924, 44.8579351], [-0.5308769, 44.8579231], [-0.5308504, 44.8579413]]], ""type"": ""Polygon""}";757403;;VT;2022-12-19T13:46:52+01:00;2022-12-19T13:47:25+01:00;Cenon;33119
44.859022785089465, -0.5657103712689562;"{""coordinates"": [[[-0.5657294, 44.8590301], [-0.5657046, 44.8590077], [-0.5656914, 44.8590156], [-0.5657161, 44.8590378], [-0.5657294, 44.8590301]]], ""type"": ""Polygon""}";759122;;VT;2023-01-04T11:21:07+01:00;2023-07-12T11:30:17+02:00;Bordeaux;33063
44.825131209757686, -0.47599690792943977;"{""coordinates"": [[[-0.4760218, 44.8251118], [-0.4759613, 44.8251369], [-0.4759704, 44.8251507], [-0.4760329, 44.8251258], [-0.4760218, 44.8251118]]], ""type"": ""Polygon""}";759180;;VT;2023-01-04T11:34:24+01:00;2023-01-04T11:34:46+01:00;Bouliac;33065
44.870007138508875, -0.5509282586355689;"{""coordinates"": [[[-0.5509561, 44.8700055], [-0.550904, 44.869996], [-0.5509011, 44.8700094], [-0.5509531, 44.8700179], [-0.5509561, 44.8700055]]], ""type"": ""Polygon""}";734217;;VTS;2022-10-20T09:29:33+02:00;2022-10-20T09:30:09+02:00;Bordeaux;33063
44.79791176455624, -0.5303650536420333;"{""coordinates"": [[[-0.5303479, 44.7979358], [-0.5303904, 44.7979326], [-0.5303815, 44.7978875], [-0.5303403, 44.7978907], [-0.5303479, 44.7979358]]], ""type"": ""Polygon""}";753018;;VTS;2022-11-29T09:52:16+01:00;2022-11-29T09:52:39+01:00;Bègles;33039
44.774485057790265, -0.6437219459373397;"{""coordinates"": [[[-0.6437387, 44.7744678], [-0.6436933, 44.774489], [-0.6437052, 44.7745025], [-0.6437509, 44.7744807], [-0.6437387, 44.7744678]]], ""type"": ""Polygon""}";756685;;VTS;2022-12-16T08:34:27+01:00;2022-12-16T08:34:53+01:00;Gradignan;33192
44.7716234119978, -0.609642260054165;"{""coordinates"": [[[-0.6096696, 44.7716398], [-0.6096745, 44.7716144], [-0.609614, 44.7716076], [-0.6096099, 44.7716318], [-0.6096696, 44.7716398]]], ""type"": ""Polygon""}";756789;;VTS;2022-12-16T08:46:53+01:00;2022-12-16T08:47:15+01:00;Gradignan;33192
44.81270516554664, -0.503207794633902;"{""coordinates"": [[[-0.5031797, 44.8127187], [-0.5032394, 44.8127121], [-0.5032364, 44.8126914], [-0.5031752, 44.8126987], [-0.5031797, 44.8127187]]], ""type"": ""Polygon""}";759198;;VT;2023-01-04T11:38:43+01:00;2023-01-04T11:39:17+01:00;Bouliac;33065
44.82718503892869, -0.6138611811678594;"{""coordinates"": [[[-0.6138345, 44.8271787], [-0.6138349, 44.827193], [-0.6138871, 44.8271921], [-0.6138866, 44.8271764], [-0.6138345, 44.8271787]]], ""type"": ""Polygon""}";769212;;VT;2023-02-20T08:40:46+01:00;2023-02-20T08:41:45+01:00;Mérignac;33281
44.82672270931089, -0.619526959287701;"{""coordinates"": [[[-0.6194925, 44.8267396], [-0.6195044, 44.8267487], [-0.6195609, 44.8267075], [-0.6195476, 44.8266969], [-0.6194925, 44.8267396]]], ""type"": ""Polygon""}";769227;;VT;2023-02-20T08:45:50+01:00;2024-07-25T11:49:59+02:00;Mérignac;33281
44.82642427466765, -0.6257636461812438;"{""coordinates"": [[[-0.6257594, 44.8264102], [-0.6257514, 44.8264351], [-0.6257677, 44.8264382], [-0.6257761, 44.8264139], [-0.6257594, 44.8264102]]], ""type"": ""Polygon""}";769241;;VT;2023-02-20T08:50:40+01:00;2023-02-20T08:51:14+01:00;Mérignac;33281
44.81564064056271, -0.6340899840562719;"{""coordinates"": [[[-0.6341059, 44.8156272], [-0.6340878, 44.8156228], [-0.6340745, 44.8156544], [-0.6340914, 44.8156588], [-0.6341059, 44.8156272]]], ""type"": ""Polygon""}";769293;;VT;2023-02-20T09:04:20+01:00;2023-02-20T09:05:00+01:00;Mérignac;33281
44.83245762484921, -0.6457228212050092;"{""coordinates"": [[[-0.6456993, 44.8324514], [-0.6456997, 44.8324644], [-0.6457466, 44.8324636], [-0.6457463, 44.8324511], [-0.6456993, 44.8324514]]], ""type"": ""Polygon""}";769383;;VT;2023-02-20T09:27:00+01:00;2023-02-20T09:27:35+01:00;Mérignac;33281
44.846527497107004, -0.6568169087428201;"{""coordinates"": [[[-0.6568406, 44.8465302], [-0.6568032, 44.8465121], [-0.656793, 44.8465246], [-0.6568308, 44.846543], [-0.6568406, 44.8465302]]], ""type"": ""Polygon""}";769490;;VT;2023-02-20T09:50:10+01:00;2023-02-20T09:50:48+01:00;Mérignac;33281
44.850745392748735, -0.6556133583147286;"{""coordinates"": [[[-0.6556298, 44.8507634], [-0.6556168, 44.8507256], [-0.6555973, 44.8507276], [-0.6556092, 44.8507645], [-0.6556298, 44.8507634]]], ""type"": ""Polygon""}";769542;;VT;2023-02-20T10:00:38+01:00;2023-02-20T10:01:05+01:00;Mérignac;33281
