Geo Point;Geo Shape;gid;ident;type;zone;comptage_5m;cdate;mdate;commune;CODE_COMMUNE
44.8317387, -0.5767387;"{""coordinates"": [-0.5767387, 44.8317387], ""type"": ""Point""}";107;Z3CT5;BOUCLE;3;;2012-11-27T17:34:16+01:00;2012-11-27T17:34:32+01:00;Bordeaux;33063
44.829363, -0.5735972;"{""coordinates"": [-0.5735972, 44.829363], ""type"": ""Point""}";114;Z3CT17;BOUCLE;3;12;2012-11-27T17:49:24+01:00;2024-10-01T16:25:00+02:00;Bordeaux;33063
44.8271409, -0.5737573;"{""coordinates"": [-0.5737573, 44.8271409], ""type"": ""Point""}";116;Z3CT15;BOUCLE;3;43;2012-11-27T17:51:24+01:00;2024-10-01T16:25:00+02:00;Bordeaux;33063
44.8287983, -0.5723094;"{""coordinates"": [-0.5723094, 44.8287983], ""type"": ""Point""}";117;Z3CT7;BOUCLE;3;19;2012-11-27T17:53:00+01:00;2024-10-01T16:25:00+02:00;Bordeaux;33063
44.8306315, -0.5718125;"{""coordinates"": [-0.5718125, 44.8306315], ""type"": ""Point""}";118;Z3CT8;BOUCLE;3;0;2012-11-27T17:53:52+01:00;2024-10-01T16:25:00+02:00;Bordeaux;33063
44.8144599, -0.5882141;"{""coordinates"": [-0.5882141, 44.8144599], ""type"": ""Point""}";121;Z11CT1;BOUCLE;11;28;2012-11-27T18:05:44+01:00;2024-10-01T16:25:00+02:00;Talence;33522
44.8167291, -0.5856869;"{""coordinates"": [-0.5856869, 44.8167291], ""type"": ""Point""}";122;Z11CT2;BOUCLE;11;36;2012-11-27T18:07:16+01:00;2024-10-01T16:25:00+02:00;Talence;33522
44.8241215, -0.5818402;"{""coordinates"": [-0.5818402, 44.8241215], ""type"": ""Point""}";126;Z11CT7;BOUCLE;11;26;2012-11-27T18:15:04+01:00;2024-10-01T16:25:00+02:00;Bordeaux;33063
44.8180907, -0.577979;"{""coordinates"": [-0.577979, 44.8180907], ""type"": ""Point""}";129;Z11CT10;BOUCLE;11;61;2012-11-27T18:18:16+01:00;2024-10-01T16:25:00+02:00;Talence;33522
44.8157049, -0.5741;"{""coordinates"": [-0.5741, 44.8157049], ""type"": ""Point""}";130;Z11CT12;BOUCLE;11;63;2012-11-27T18:20:00+01:00;2024-10-01T16:25:00+02:00;Bordeaux;33063
44.8718656, -0.6149731;"{""coordinates"": [-0.6149731, 44.8718656], ""type"": ""Point""}";140;Z23CT16;BOUCLE;23;51;2012-11-27T18:37:12+01:00;2024-10-01T16:25:00+02:00;Le Bouscat;33069
44.8711584, -0.6138311;"{""coordinates"": [-0.6138311, 44.8711584], ""type"": ""Point""}";141;Z23CT1;BOUCLE;23;;2012-11-27T18:39:08+01:00;2013-12-13T14:01:28+01:00;Bruges;33075
44.8771473, -0.6226705;"{""coordinates"": [-0.6226705, 44.8771473], ""type"": ""Point""}";143;Z23CT2;BOUCLE;23;71;2012-11-27T18:43:12+01:00;2024-10-01T16:25:00+02:00;Bruges;33075
44.8832834, -0.6319957;"{""coordinates"": [-0.6319957, 44.8832834], ""type"": ""Point""}";147;Z23CT11;BOUCLE;23;0;2012-11-27T18:47:32+01:00;2024-10-01T16:25:00+02:00;Eysines;33162
44.8869502, -0.6369396;"{""coordinates"": [-0.6369396, 44.8869502], ""type"": ""Point""}";149;Z23CT5;BOUCLE;23;21;2012-11-27T18:49:08+01:00;2024-10-01T16:25:00+02:00;Eysines;33162
44.8757365, -0.6241313;"{""coordinates"": [-0.6241313, 44.8757365], ""type"": ""Point""}";150;Z23CT9;BOUCLE;23;42;2012-11-27T18:51:28+01:00;2024-10-01T16:25:00+02:00;Le Bouscat;33069
44.8513904, -0.5952205;"{""coordinates"": [-0.5952205, 44.8513904], ""type"": ""Point""}";151;Z13CT5;BOUCLE;13;93;2012-11-28T09:45:00+01:00;2024-10-01T16:25:00+02:00;Bordeaux;33063
44.8528491, -0.5942512;"{""coordinates"": [-0.5942512, 44.8528491], ""type"": ""Point""}";152;Z13CT3;BOUCLE;13;58;2012-11-28T09:46:08+01:00;2024-10-01T16:25:00+02:00;Bordeaux;33063
44.8477137, -0.5962435;"{""coordinates"": [-0.5962435, 44.8477137], ""type"": ""Point""}";156;Z13CT11;BOUCLE;13;;2012-11-28T09:52:08+01:00;2013-12-10T14:29:32+01:00;Bordeaux;33063
44.844647, -0.5989737;"{""coordinates"": [-0.5989737, 44.844647], ""type"": ""Point""}";157;Z13CT4;BOUCLE;13;0;2012-11-28T09:53:36+01:00;2024-10-01T16:25:00+02:00;Bordeaux;33063
44.8465873, -0.5977932;"{""coordinates"": [-0.5977932, 44.8465873], ""type"": ""Point""}";158;Z13CT19;BOUCLE;13;0;2012-11-28T09:55:32+01:00;2024-10-01T16:25:00+02:00;Bordeaux;33063
44.8518257, -0.5908057;"{""coordinates"": [-0.5908057, 44.8518257], ""type"": ""Point""}";160;Z13CT14;BOUCLE;13;31;2012-11-28T10:00:32+01:00;2024-10-01T16:25:00+02:00;Bordeaux;33063
44.8539933, -0.5889454;"{""coordinates"": [-0.5889454, 44.8539933], ""type"": ""Point""}";164;Z13CT15;BOUCLE;13;0;2012-11-28T10:07:28+01:00;2024-10-01T16:25:00+02:00;Bordeaux;33063
44.8358368, -0.5890411;"{""coordinates"": [-0.5890411, 44.8358368], ""type"": ""Point""}";165;Z402CT1;BOUCLE;4;15;2012-11-28T10:15:04+01:00;2024-10-01T16:25:00+02:00;Bordeaux;33063
44.8378809, -0.5878793;"{""coordinates"": [-0.5878793, 44.8378809], ""type"": ""Point""}";168;Z402CT6;BOUCLE;4;13;2012-11-28T10:17:20+01:00;2024-10-01T16:25:00+02:00;Bordeaux;33063
44.8378184, -0.5869588;"{""coordinates"": [-0.5869588, 44.8378184], ""type"": ""Point""}";169;Z402CT4;BOUCLE;4;14;2012-11-28T10:18:20+01:00;2024-10-01T16:25:00+02:00;Bordeaux;33063
44.8415523, -0.5821513;"{""coordinates"": [-0.5821513, 44.8415523], ""type"": ""Point""}";174;Z4CT9;BOUCLE;4;66;2012-11-28T10:28:48+01:00;2024-10-01T16:25:00+02:00;Bordeaux;33063
44.8413913, -0.5841386;"{""coordinates"": [-0.5841386, 44.8413913], ""type"": ""Point""}";175;Z4CT8;BOUCLE;4;12;2012-11-28T10:29:16+01:00;2024-10-01T16:25:00+02:00;Bordeaux;33063
44.8462506, -0.574273;"{""coordinates"": [-0.574273, 44.8462506], ""type"": ""Point""}";187;Z4CT20;BOUCLE;4;14;2012-11-28T10:51:00+01:00;2024-10-01T16:25:00+02:00;Bordeaux;33063
44.8916556, -0.5161976;"{""coordinates"": [-0.5161976, 44.8916556], ""type"": ""Point""}";194;Z31CT7;BOUCLE;31;17;2016-04-04T09:55:36+02:00;2024-10-01T09:50:00+02:00;Carbon-Blanc;33096
44.8537109, -0.5377361;"{""coordinates"": [-0.5377361, 44.8537109], ""type"": ""Point""}";197;Z08AS;SIREDO;8;;2012-12-11T07:57:48+01:00;2014-03-07T10:08:08+01:00;Cenon;33119
44.8163712, -0.5753369;"{""coordinates"": [-0.5753369, 44.8163712], ""type"": ""Point""}";199;Z12CT9;BOUCLE;12;36;2012-11-08T15:50:40+01:00;2024-10-01T16:25:00+02:00;Bordeaux;33063
44.8211778, -0.5705049;"{""coordinates"": [-0.5705049, 44.8211778], ""type"": ""Point""}";201;Z12CT2;BOUCLE;12;17;2012-11-08T15:54:12+01:00;2024-10-01T16:25:00+02:00;Bordeaux;33063
44.8167011, -0.572279;"{""coordinates"": [-0.572279, 44.8167011], ""type"": ""Point""}";202;Z12CT3;BOUCLE;12;34;2012-11-08T15:55:24+01:00;2024-10-01T16:25:00+02:00;Bordeaux;33063
44.8172369, -0.5722;"{""coordinates"": [-0.5722, 44.8172369], ""type"": ""Point""}";203;Z12CT7;BOUCLE;12;33;2012-11-08T15:56:52+01:00;2024-10-01T16:25:00+02:00;Bordeaux;33063
44.8123105, -0.5736763;"{""coordinates"": [-0.5736763, 44.8123105], ""type"": ""Point""}";205;Z12CT4;BOUCLE;12;53;2012-11-08T16:01:16+01:00;2024-10-01T16:25:00+02:00;Talence;33522
44.8140437, -0.5682382;"{""coordinates"": [-0.5682382, 44.8140437], ""type"": ""Point""}";209;Z12CT13;BOUCLE;12;47;2012-11-08T16:06:04+01:00;2024-10-01T16:25:00+02:00;Bordeaux;33063
44.7762187, -0.6112155;"{""coordinates"": [-0.6112155, 44.7762187], ""type"": ""Point""}";214;Z18CT1;BOUCLE;18;27;2012-11-08T16:16:12+01:00;2024-10-01T16:25:00+02:00;Gradignan;33192
44.7733915, -0.6140847;"{""coordinates"": [-0.6140847, 44.7733915], ""type"": ""Point""}";216;Z18CT3;BOUCLE;18;28;2012-11-08T16:18:44+01:00;2024-10-01T16:25:00+02:00;Gradignan;33192
44.7721693, -0.6144475;"{""coordinates"": [-0.6144475, 44.7721693], ""type"": ""Point""}";217;Z18CT4;BOUCLE;18;24;2012-11-08T16:19:32+01:00;2024-10-01T16:25:00+02:00;Gradignan;33192
44.859161, -0.6662982;"{""coordinates"": [-0.6662982, 44.859161], ""type"": ""Point""}";556;Z24CT14;BOUCLE;24;32;2015-02-03T14:18:24+01:00;2024-10-01T16:25:00+02:00;Le Haillan;33200
44.8862756, -0.5945167;"{""coordinates"": [-0.5945167, 44.8862756], ""type"": ""Point""}";559;Z23DS;SIREDO;23;;2012-12-10T09:31:56+01:00;2012-12-10T09:32:12+01:00;Bruges;33075
44.8862482, -0.5945388;"{""coordinates"": [-0.5945388, 44.8862482], ""type"": ""Point""}";560;Z23DE;SIREDO;23;;2012-12-10T09:32:16+01:00;2012-12-10T09:32:28+01:00;Bruges;33075
