Geo Point;Geo Shape;gid;ident;type;zone;comptage_5m;cdate;mdate;commune;CODE_COMMUNE
44.8385785, -0.6229289;"{""coordinates"": [-0.6229289, 44.8385785], ""type"": ""Point""}";343;Z06AE;SIREDO;6;;2012-12-07T18:00:00+01:00;2014-03-07T10:03:56+01:00;Mérignac;33281
44.8641311, -0.661233;"{""coordinates"": [-0.661233, 44.8641311], ""type"": ""Point""}";346;Z24AS;SIREDO;24;;2012-12-07T18:06:40+01:00;2012-12-07T18:06:56+01:00;Eysines;33162
44.8326318, -0.6623322;"{""coordinates"": [-0.6623322, 44.8326318], ""type"": ""Point""}";348;Z30AE;SIREDO;30;;2012-12-07T18:22:12+01:00;2012-12-07T18:22:28+01:00;Mérignac;33281
44.8324481, -0.6610523;"{""coordinates"": [-0.6610523, 44.8324481], ""type"": ""Point""}";349;Z30AS;SIREDO;30;;2012-12-07T18:23:40+01:00;2012-12-07T18:23:52+01:00;Mérignac;33281
44.8280339, -0.6701526;"{""coordinates"": [-0.6701526, 44.8280339], ""type"": ""Point""}";353;Z30CE;SIREDO;30;;2012-12-07T18:28:04+01:00;2012-12-07T18:28:12+01:00;Mérignac;33281
44.827584, -0.638318;"{""coordinates"": [-0.638318, 44.827584], ""type"": ""Point""}";354;Z30DSN;SIREDO;30;;2012-12-07T18:31:40+01:00;2016-03-09T14:44:28+01:00;Mérignac;33281
44.8283244, -0.6388064;"{""coordinates"": [-0.6388064, 44.8283244], ""type"": ""Point""}";355;Z30DNS;SIREDO;30;;2012-12-07T18:32:52+01:00;2016-03-09T14:44:16+01:00;Mérignac;33281
44.8482381, -0.66027;"{""coordinates"": [-0.66027, 44.8482381], ""type"": ""Point""}";360;Z07BE;SIREDO;7;;2012-12-10T08:24:44+01:00;2014-03-07T10:05:40+01:00;Mérignac;33281
44.8018269, -0.57093;"{""coordinates"": [-0.57093, 44.8018269], ""type"": ""Point""}";362;Z19AE;SIREDO;19;;2012-12-10T08:28:40+01:00;2012-12-10T08:29:56+01:00;Bègles;33039
44.78612, -0.5663888;"{""coordinates"": [-0.5663888, 44.78612], ""type"": ""Point""}";364;Z19BE;SIREDO;19;;2012-12-10T08:31:36+01:00;2012-12-10T08:31:48+01:00;Bègles;33039
44.7861174, -0.5664326;"{""coordinates"": [-0.5664326, 44.7861174], ""type"": ""Point""}";365;Z19BS;SIREDO;19;;2012-12-10T08:31:56+01:00;2012-12-10T08:32:12+01:00;Villenave-d'Ornon;33550
44.7986736, -0.577359;"{""coordinates"": [-0.577359, 44.7986736], ""type"": ""Point""}";366;Z19DE;SIREDO;19;;2012-12-10T08:40:44+01:00;2012-12-10T08:40:56+01:00;Villenave-d'Ornon;33550
44.787943, -0.586807;"{""coordinates"": [-0.586807, 44.787943], ""type"": ""Point""}";368;Z19CE;SIREDO;19;;2012-12-10T08:45:04+01:00;2012-12-10T08:45:16+01:00;Villenave-d'Ornon;33550
44.8787561, -0.5820737;"{""coordinates"": [-0.5820737, 44.8787561], ""type"": ""Point""}";373;Z25BS;SIREDO;25;;2012-12-10T08:52:40+01:00;2012-12-10T08:52:48+01:00;Bruges;33075
44.8310991, -0.5553676;"{""coordinates"": [-0.5553676, 44.8310991], ""type"": ""Point""}";379;Z05CE;SIREDO;5;;2012-12-10T09:07:20+01:00;2014-03-07T10:02:16+01:00;Bordeaux;33063
44.8069271, -0.591717;"{""coordinates"": [-0.591717, 44.8069271], ""type"": ""Point""}";381;Z17AS;SIREDO;17;;2012-12-10T09:10:48+01:00;2012-12-10T09:11:00+01:00;Talence;33522
44.8132352, -0.5865979;"{""coordinates"": [-0.5865979, 44.8132352], ""type"": ""Point""}";388;Z17ES;SIREDO;17;;2012-12-10T09:20:16+01:00;2012-12-10T09:20:32+01:00;Talence;33522
44.8132443, -0.5865581;"{""coordinates"": [-0.5865581, 44.8132443], ""type"": ""Point""}";389;Z17EE;SIREDO;17;;2012-12-10T09:20:36+01:00;2012-12-10T09:20:44+01:00;Talence;33522
44.8782685, -0.6446846;"{""coordinates"": [-0.6446846, 44.8782685], ""type"": ""Point""}";391;Z23AS;SIREDO;23;;2012-12-10T09:24:52+01:00;2012-12-10T09:25:12+01:00;Eysines;33162
44.8881975, -0.7036716;"{""coordinates"": [-0.7036716, 44.8881975], ""type"": ""Point""}";394;Z28CT7;BOUCLE;28;;2012-11-20T16:48:08+01:00;2012-11-20T16:48:32+01:00;Saint-Médard-en-Jalles;33449
44.8930275, -0.7109042;"{""coordinates"": [-0.7109042, 44.8930275], ""type"": ""Point""}";397;Z28CT3;BOUCLE;28;;2012-11-20T16:49:04+01:00;2012-11-20T16:49:24+01:00;Saint-Médard-en-Jalles;33449
44.8974092, -0.7225626;"{""coordinates"": [-0.7225626, 44.8974092], ""type"": ""Point""}";401;Z28CT4;BOUCLE;28;;2012-11-20T16:58:52+01:00;2012-11-20T16:59:04+01:00;Saint-Médard-en-Jalles;33449
44.8356721, -0.5989345;"{""coordinates"": [-0.5989345, 44.8356721], ""type"": ""Point""}";403;Z9CT1;BOUCLE;9;86;2012-11-20T17:02:28+01:00;2024-10-01T16:25:00+02:00;Bordeaux;33063
44.8343362, -0.5890553;"{""coordinates"": [-0.5890553, 44.8343362], ""type"": ""Point""}";407;Z9CT8;BOUCLE;9;32;2012-11-20T17:07:28+01:00;2024-10-01T16:25:00+02:00;Bordeaux;33063
44.8279171, -0.6125429;"{""coordinates"": [-0.6125429, 44.8279171], ""type"": ""Point""}";414;Z9CT15;BOUCLE;9;33;2012-11-20T17:16:16+01:00;2024-10-01T16:25:00+02:00;Bordeaux;33063
44.8264868, -0.6162352;"{""coordinates"": [-0.6162352, 44.8264868], ""type"": ""Point""}";415;Z9CT16;BOUCLE;9;46;2012-11-20T17:17:00+01:00;2024-10-01T16:25:00+02:00;Mérignac;33281
44.8265605, -0.6209141;"{""coordinates"": [-0.6209141, 44.8265605], ""type"": ""Point""}";416;Z9CT14;BOUCLE;9;38;2012-11-20T17:18:52+01:00;2024-10-01T16:25:00+02:00;Mérignac;33281
44.8395134, -0.637112;"{""coordinates"": [-0.637112, 44.8395134], ""type"": ""Point""}";418;Z7CT1;BOUCLE;7;0;2012-11-20T17:23:16+01:00;2024-10-01T16:25:00+02:00;Mérignac;33281
44.8409159, -0.642669;"{""coordinates"": [-0.642669, 44.8409159], ""type"": ""Point""}";420;Z7CT6;BOUCLE;7;0;2012-11-20T17:24:24+01:00;2024-10-01T16:25:00+02:00;Mérignac;33281
44.8349387, -0.573224;"{""coordinates"": [-0.573224, 44.8349387], ""type"": ""Point""}";428;Z2CT9;BOUCLE;2;0;2012-11-20T17:41:36+01:00;2024-10-01T16:25:00+02:00;Bordeaux;33063
44.8346616, -0.579937;"{""coordinates"": [-0.579937, 44.8346616], ""type"": ""Point""}";435;Z2CT13;BOUCLE;2;0;2012-11-20T17:47:44+01:00;2024-10-01T16:25:00+02:00;Bordeaux;33063
44.8379246, -0.5686221;"{""coordinates"": [-0.5686221, 44.8379246], ""type"": ""Point""}";442;Z2CT4;BOUCLE;2;0;2012-11-20T17:53:40+01:00;2024-10-01T16:25:00+02:00;Bordeaux;33063
44.8353907, -0.5806023;"{""coordinates"": [-0.5806023, 44.8353907], ""type"": ""Point""}";445;Z2CT11;BOUCLE;2;0;2012-11-20T17:56:24+01:00;2024-10-01T16:25:00+02:00;Bordeaux;33063
44.8357876, -0.5807869;"{""coordinates"": [-0.5807869, 44.8357876], ""type"": ""Point""}";446;Z201CT14;BOUCLE;2;0;2012-11-20T17:59:12+01:00;2024-10-01T16:25:00+02:00;Bordeaux;33063
44.886753, -0.5193922;"{""coordinates"": [-0.5193922, 44.886753], ""type"": ""Point""}";453;Z31CT2;BOUCLE;31;76;2012-11-20T18:21:08+01:00;2024-10-01T09:50:00+02:00;Lormont;33249
44.8393569, -0.5680194;"{""coordinates"": [-0.5680194, 44.8393569], ""type"": ""Point""}";458;Z1CT5;BOUCLE;1;49;2012-11-20T18:30:52+01:00;2024-10-01T16:25:00+02:00;Bordeaux;33063
44.85043, -0.5694998;"{""coordinates"": [-0.5694998, 44.85043], ""type"": ""Point""}";463;Z1CT11;BOUCLE;1;40;2012-11-20T18:37:32+01:00;2024-10-01T16:25:00+02:00;Bordeaux;33063
44.8518342, -0.5684556;"{""coordinates"": [-0.5684556, 44.8518342], ""type"": ""Point""}";464;Z1CT9;BOUCLE;1;36;2012-11-20T18:39:08+01:00;2024-10-01T16:25:00+02:00;Bordeaux;33063
44.8075484, -0.5734752;"{""coordinates"": [-0.5734752, 44.8075484], ""type"": ""Point""}";469;Z19CT1;BOUCLE;19;64;2012-11-21T14:36:16+01:00;2024-10-01T16:25:00+02:00;Talence;33522
44.7815844, -0.5642214;"{""coordinates"": [-0.5642214, 44.7815844], ""type"": ""Point""}";475;Z19CT6;BOUCLE;19;30;2012-11-21T14:53:04+01:00;2024-10-01T16:25:00+02:00;Villenave-d'Ornon;33550
44.777231, -0.5740442;"{""coordinates"": [-0.5740442, 44.777231], ""type"": ""Point""}";476;Z19CT12;BOUCLE;19;3;2012-11-21T14:55:08+01:00;2024-10-01T16:25:00+02:00;Villenave-d'Ornon;33550
44.778297, -0.5642516;"{""coordinates"": [-0.5642516, 44.778297], ""type"": ""Point""}";477;Z19CT14;BOUCLE;19;71;2012-11-21T14:58:56+01:00;2024-10-01T16:25:00+02:00;Villenave-d'Ornon;33550
44.8212881, -0.5515518;"{""coordinates"": [-0.5515518, 44.8212881], ""type"": ""Point""}";483;Z26CT3;BOUCLE;26;0;2012-11-23T15:37:04+01:00;2024-10-01T16:25:00+02:00;Bordeaux;33063
44.8597906, -0.5890063;"{""coordinates"": [-0.5890063, 44.8597906], ""type"": ""Point""}";485;Z14CT1;BOUCLE;14;46;2012-11-23T15:45:52+01:00;2024-10-01T16:25:00+02:00;Le Bouscat;33069
44.8672419, -0.5759689;"{""coordinates"": [-0.5759689, 44.8672419], ""type"": ""Point""}";486;Z14CT4;BOUCLE;14;68;2012-11-23T15:47:56+01:00;2024-10-01T16:25:00+02:00;Le Bouscat;33069
44.8664314, -0.5756295;"{""coordinates"": [-0.5756295, 44.8664314], ""type"": ""Point""}";487;Z14CT5;BOUCLE;14;41;2012-11-23T15:49:12+01:00;2024-10-01T16:25:00+02:00;Bordeaux;33063
44.867786, -0.5714453;"{""coordinates"": [-0.5714453, 44.867786], ""type"": ""Point""}";489;Z14CT10;BOUCLE;14;0;2012-11-23T15:51:36+01:00;2024-10-01T16:25:00+02:00;Bordeaux;33063
44.8675561, -0.5634319;"{""coordinates"": [-0.5634319, 44.8675561], ""type"": ""Point""}";492;Z14CT12;BOUCLE;14;76;2012-11-23T15:57:40+01:00;2024-10-01T16:25:00+02:00;Bordeaux;33063
44.8323384, -0.6601379;"{""coordinates"": [-0.6601379, 44.8323384], ""type"": ""Point""}";493;Z30CT2;BOUCLE;30;;2012-11-15T15:36:48+01:00;2012-11-15T15:37:00+01:00;Mérignac;33281
44.8329524, -0.6524277;"{""coordinates"": [-0.6524277, 44.8329524], ""type"": ""Point""}";496;Z30CT5;BOUCLE;30;65;2012-11-15T15:39:04+01:00;2024-10-01T16:25:00+02:00;Mérignac;33281
44.8280484, -0.6643523;"{""coordinates"": [-0.6643523, 44.8280484], ""type"": ""Point""}";498;Z30CT21;BOUCLE;30;0;2012-11-15T15:46:08+01:00;2024-10-01T16:25:00+02:00;Mérignac;33281
44.7877349, -0.5660387;"{""coordinates"": [-0.5660387, 44.7877349], ""type"": ""Point""}";499;Z19CT10;BOUCLE;19;28;2016-04-08T14:48:56+02:00;2024-10-01T16:25:00+02:00;Bègles;33039
44.8157469, -0.5486011;"{""coordinates"": [-0.5486011, 44.8157469], ""type"": ""Point""}";501;Z26BE;SIREDO;26;;2012-12-11T08:40:36+01:00;2014-03-07T09:58:16+01:00;Bègles;33039
44.7966189, -0.5415183;"{""coordinates"": [-0.5415183, 44.7966189], ""type"": ""Point""}";505;Z26AE;SIREDO;26;;2012-12-11T08:51:36+01:00;2012-12-11T08:51:48+01:00;Bègles;33039
44.7959846, -0.6603789;"{""coordinates"": [-0.6603789, 44.7959846], ""type"": ""Point""}";509;Z27BS;SIREDO;27;;2012-12-11T09:08:44+01:00;2012-12-11T09:10:24+01:00;Pessac;33318
44.7960263, -0.6603476;"{""coordinates"": [-0.6603476, 44.7960263], ""type"": ""Point""}";510;Z27BE;SIREDO;27;;2012-12-11T09:10:28+01:00;2012-12-11T09:12:48+01:00;Pessac;33318
44.8263785, -0.617425;"{""coordinates"": [-0.617425, 44.8263785], ""type"": ""Point""}";511;Z09AE;SIREDO;9;;2012-12-11T09:17:32+01:00;2014-03-07T10:09:00+01:00;Mérignac;33281
44.816376, -0.6006425;"{""coordinates"": [-0.6006425, 44.816376], ""type"": ""Point""}";514;Z10AS;SIREDO;10;;2012-12-11T09:24:52+01:00;2012-12-11T09:25:04+01:00;Talence;33522
44.8222163, -0.606054;"{""coordinates"": [-0.606054, 44.8222163], ""type"": ""Point""}";515;Z10BE;SIREDO;10;;2012-12-11T09:32:24+01:00;2012-12-11T09:32:52+01:00;Bordeaux;33063
44.7891307, -0.6352414;"{""coordinates"": [-0.6352414, 44.7891307], ""type"": ""Point""}";523;Z16DE;SIREDO;16;;2012-12-12T16:56:24+01:00;2012-12-12T16:56:44+01:00;Pessac;33318
44.7996042, -0.662058;"{""coordinates"": [-0.662058, 44.7996042], ""type"": ""Point""}";526;Z27CT2;BOUCLE;27;47;2016-02-29T12:14:24+01:00;2024-10-01T16:25:00+02:00;Pessac;33318
44.8599429, -0.5535621;"{""coordinates"": [-0.5535621, 44.8599429], ""type"": ""Point""}";528;Z14CT3;BOUCLE;14;114;2013-08-13T09:54:20+02:00;2024-10-01T16:25:00+02:00;Bordeaux;33063
44.8421526, -0.6032137;"{""coordinates"": [-0.6032137, 44.8421526], ""type"": ""Point""}";532;Z6CT20;BOUCLE;6;;2015-12-08T14:45:40+01:00;2016-04-01T17:53:36+02:00;Bordeaux;33063
44.8432884, -0.6489505;"{""coordinates"": [-0.6489505, 44.8432884], ""type"": ""Point""}";533;Z7CT13;BOUCLE;7;24;2015-01-22T15:16:16+01:00;2024-10-01T16:25:00+02:00;Mérignac;33281
44.8465713, -0.6568152;"{""coordinates"": [-0.6568152, 44.8465713], ""type"": ""Point""}";536;Z7CT16;BOUCLE;7;34;2015-01-22T15:22:56+01:00;2024-10-01T16:25:00+02:00;Mérignac;33281
44.8568776, -0.6596163;"{""coordinates"": [-0.6596163, 44.8568776], ""type"": ""Point""}";549;Z24CT7;BOUCLE;24;42;2015-02-03T11:42:12+01:00;2024-10-01T16:25:00+02:00;Mérignac;33281
44.8572262, -0.6587488;"{""coordinates"": [-0.6587488, 44.8572262], ""type"": ""Point""}";550;Z24CT9;BOUCLE;24;77;2015-02-03T13:57:28+01:00;2024-10-01T16:25:00+02:00;Mérignac;33281
44.8572088, -0.6588304;"{""coordinates"": [-0.6588304, 44.8572088], ""type"": ""Point""}";551;Z24CT10;BOUCLE;24;58;2015-02-03T13:58:36+01:00;2024-10-01T16:25:00+02:00;Mérignac;33281
44.8279402, -0.6643717;"{""coordinates"": [-0.6643717, 44.8279402], ""type"": ""Point""}";1;Z30CT22;BOUCLE;30;15;2012-11-15T15:46:32+01:00;2024-10-01T16:25:00+02:00;Mérignac;33281
44.8332133, -0.6493556;"{""coordinates"": [-0.6493556, 44.8332133], ""type"": ""Point""}";8;Z30CT1;BOUCLE;30;;2012-11-15T16:00:28+01:00;2016-05-13T10:56:44+02:00;Mérignac;33281
44.8324738, -0.6417697;"{""coordinates"": [-0.6417697, 44.8324738], ""type"": ""Point""}";10;Z30CT15;BOUCLE;30;6;2012-11-15T16:03:04+01:00;2024-10-01T16:25:00+02:00;Mérignac;33281
44.8327717, -0.6414768;"{""coordinates"": [-0.6414768, 44.8327717], ""type"": ""Point""}";11;Z30CT9;BOUCLE;30;45;2012-11-15T16:03:36+01:00;2024-10-01T16:25:00+02:00;Mérignac;33281
44.8297563, -0.6361679;"{""coordinates"": [-0.6361679, 44.8297563], ""type"": ""Point""}";16;Z30CT24;BOUCLE;30;14;2012-11-15T16:09:28+01:00;2024-10-01T16:25:00+02:00;Mérignac;33281
44.8699823, -0.611649;"{""coordinates"": [-0.611649, 44.8699823], ""type"": ""Point""}";17;Z21CT4;BOUCLE;21;;2012-11-15T16:18:16+01:00;2012-11-15T16:18:28+01:00;Le Bouscat;33069
44.866671, -0.6063372;"{""coordinates"": [-0.6063372, 44.866671], ""type"": ""Point""}";19;Z21CT3;BOUCLE;21;29;2012-11-15T16:21:04+01:00;2024-10-01T16:25:00+02:00;Le Bouscat;33069
44.8575471, -0.5975564;"{""coordinates"": [-0.5975564, 44.8575471], ""type"": ""Point""}";23;Z21CT1;BOUCLE;21;24;2012-11-15T16:32:56+01:00;2024-10-01T16:25:00+02:00;Le Bouscat;33069
44.8650082, -0.575676;"{""coordinates"": [-0.575676, 44.8650082], ""type"": ""Point""}";24;Z15CT12;BOUCLE;15;0;2012-11-15T16:48:20+01:00;2024-10-01T16:25:00+02:00;Bordeaux;33063
44.8527806, -0.5742126;"{""coordinates"": [-0.5742126, 44.8527806], ""type"": ""Point""}";29;Z15CT6;BOUCLE;15;8;2012-11-15T16:54:56+01:00;2024-10-01T16:25:00+02:00;Bordeaux;33063
44.8528892, -0.573105;"{""coordinates"": [-0.573105, 44.8528892], ""type"": ""Point""}";31;Z15CT2;BOUCLE;15;38;2012-11-15T16:58:00+01:00;2024-10-01T16:25:00+02:00;Bordeaux;33063
44.8545587, -0.5728318;"{""coordinates"": [-0.5728318, 44.8545587], ""type"": ""Point""}";33;Z15CT5;BOUCLE;15;26;2012-11-15T17:00:04+01:00;2024-10-01T16:25:00+02:00;Bordeaux;33063
44.8837472, -0.5170783;"{""coordinates"": [-0.5170783, 44.8837472], ""type"": ""Point""}";35;Z31CT1;BOUCLE;31;60;2012-11-15T17:11:36+01:00;2024-10-01T09:50:00+02:00;Lormont;33249
44.8844683, -0.518059;"{""coordinates"": [-0.518059, 44.8844683], ""type"": ""Point""}";36;Z31CT4;BOUCLE;31;24;2012-11-15T17:12:32+01:00;2024-10-01T09:50:00+02:00;Lormont;33249
44.8859798, -0.5186744;"{""coordinates"": [-0.5186744, 44.8859798], ""type"": ""Point""}";37;Z31CT5;BOUCLE;31;0;2012-11-15T17:16:28+01:00;2024-10-01T09:50:00+02:00;Lormont;33249
44.8847404, -0.5191755;"{""coordinates"": [-0.5191755, 44.8847404], ""type"": ""Point""}";38;Z31CT6;BOUCLE;31;91;2012-11-15T17:18:12+01:00;2024-10-01T09:50:00+02:00;Lormont;33249
44.8454648, -0.5387324;"{""coordinates"": [-0.5387324, 44.8454648], ""type"": ""Point""}";40;Z29CT6;BOUCLE;29;18;2012-11-19T17:16:04+01:00;2024-10-01T09:50:00+02:00;Cenon;33119
44.8459045, -0.5347612;"{""coordinates"": [-0.5347612, 44.8459045], ""type"": ""Point""}";44;Z29CT7;BOUCLE;29;;2012-11-19T17:21:24+01:00;2012-11-19T17:22:28+01:00;Cenon;33119
44.8542692, -0.5151484;"{""coordinates"": [-0.5151484, 44.8542692], ""type"": ""Point""}";52;Z29CT12;BOUCLE;29;;2012-11-19T17:41:44+01:00;2012-11-19T17:41:56+01:00;Cenon;33119
44.8020646, -0.5936051;"{""coordinates"": [-0.5936051, 44.8020646], ""type"": ""Point""}";60;Z17CT6;BOUCLE;17;53;2012-11-19T18:02:48+01:00;2024-10-01T16:25:00+02:00;Talence;33522
44.7959917, -0.6033196;"{""coordinates"": [-0.6033196, 44.7959917], ""type"": ""Point""}";64;Z17CT9;BOUCLE;17;133;2012-11-19T18:07:52+01:00;2024-10-01T16:25:00+02:00;Talence;33522
44.8071253, -0.6007774;"{""coordinates"": [-0.6007774, 44.8071253], ""type"": ""Point""}";67;Z1704CT9;BOUCLE;17;0;2012-11-19T18:19:04+01:00;2024-10-01T16:25:00+02:00;Talence;33522
44.8078412, -0.6014793;"{""coordinates"": [-0.6014793, 44.8078412], ""type"": ""Point""}";68;Z1704CT2;BOUCLE;17;37;2012-11-19T18:19:44+01:00;2024-10-01T16:25:00+02:00;Talence;33522
44.8096568, -0.6001923;"{""coordinates"": [-0.6001923, 44.8096568], ""type"": ""Point""}";71;Z1704CT5;BOUCLE;17;22;2012-11-19T18:24:24+01:00;2024-10-01T16:25:00+02:00;Talence;33522
44.8085358, -0.6002659;"{""coordinates"": [-0.6002659, 44.8085358], ""type"": ""Point""}";73;Z1704CT7;BOUCLE;17;23;2012-11-19T18:26:08+01:00;2024-10-01T16:25:00+02:00;Talence;33522
44.8079239, -0.6049105;"{""coordinates"": [-0.6049105, 44.8079239], ""type"": ""Point""}";75;Z1704CT3;BOUCLE;17;0;2012-11-19T18:29:20+01:00;2024-10-01T16:25:00+02:00;Talence;33522
44.8071588, -0.6029413;"{""coordinates"": [-0.6029413, 44.8071588], ""type"": ""Point""}";76;Z1704CT11;BOUCLE;17;6;2012-11-19T18:30:20+01:00;2024-10-01T16:25:00+02:00;Talence;33522
44.8078809, -0.6027209;"{""coordinates"": [-0.6027209, 44.8078809], ""type"": ""Point""}";77;Z1704CT4;BOUCLE;17;0;2012-11-19T18:30:56+01:00;2024-10-01T16:25:00+02:00;Talence;33522
44.8739855, -0.5651702;"{""coordinates"": [-0.5651702, 44.8739855], ""type"": ""Point""}";81;Z14CT9;BOUCLE;14;140;2012-11-23T16:00:40+01:00;2024-10-01T16:25:00+02:00;Bordeaux;33063
44.8709142, -0.5639288;"{""coordinates"": [-0.5639288, 44.8709142], ""type"": ""Point""}";82;Z14CT21;BOUCLE;14;21;2012-11-23T16:01:40+01:00;2024-10-01T16:25:00+02:00;Bordeaux;33063
44.870959, -0.5639623;"{""coordinates"": [-0.5639623, 44.870959], ""type"": ""Point""}";83;Z14CT20;BOUCLE;14;53;2012-11-23T16:01:56+01:00;2024-10-01T16:25:00+02:00;Bordeaux;33063
44.8574056, -0.5597276;"{""coordinates"": [-0.5597276, 44.8574056], ""type"": ""Point""}";88;Z14CT14;BOUCLE;14;43;2012-11-23T16:05:00+01:00;2024-10-01T16:25:00+02:00;Bordeaux;33063
44.8256971, -0.5361886;"{""coordinates"": [-0.5361886, 44.8256971], ""type"": ""Point""}";90;Z5CT3;BOUCLE;5;51;2012-11-27T17:12:28+01:00;2024-10-01T16:25:00+02:00;Floirac;33167
44.8295081, -0.5527571;"{""coordinates"": [-0.5527571, 44.8295081], ""type"": ""Point""}";96;Z5CT2;BOUCLE;5;0;2012-11-27T17:23:44+01:00;2024-10-01T16:25:00+02:00;Bordeaux;33063
44.8301873, -0.5550587;"{""coordinates"": [-0.5550587, 44.8301873], ""type"": ""Point""}";102;Z5CT14;BOUCLE;5;0;2012-11-27T17:27:32+01:00;2024-10-01T16:25:00+02:00;Bordeaux;33063
44.8313496, -0.574828;"{""coordinates"": [-0.574828, 44.8313496], ""type"": ""Point""}";108;Z3CT12;BOUCLE;3;0;2012-11-27T17:35:28+01:00;2024-10-01T16:25:00+02:00;Bordeaux;33063
44.8325049, -0.5800242;"{""coordinates"": [-0.5800242, 44.8325049], ""type"": ""Point""}";109;Z3CT9;BOUCLE;3;13;2012-11-27T17:36:12+01:00;2024-10-01T16:25:00+02:00;Bordeaux;33063
44.8334458, -0.584355;"{""coordinates"": [-0.584355, 44.8334458], ""type"": ""Point""}";110;Z3CT4;BOUCLE;3;;2012-11-27T17:37:12+01:00;2012-11-27T17:37:36+01:00;Bordeaux;33063
44.834005, -0.5821816;"{""coordinates"": [-0.5821816, 44.834005], ""type"": ""Point""}";111;Z3CT13;BOUCLE;3;;2012-11-27T17:39:00+01:00;2012-11-27T17:39:12+01:00;Bordeaux;33063
44.8336897, -0.5800978;"{""coordinates"": [-0.5800978, 44.8336897], ""type"": ""Point""}";112;Z3CT18;BOUCLE;3;;2012-11-27T17:40:24+01:00;2012-11-27T17:40:48+01:00;Bordeaux;33063
44.829968, -0.5686654;"{""coordinates"": [-0.5686654, 44.829968], ""type"": ""Point""}";119;Z3CT11;BOUCLE;3;0;2012-11-27T17:54:32+01:00;2024-10-01T16:25:00+02:00;Bordeaux;33063
44.8289612, -0.5641726;"{""coordinates"": [-0.5641726, 44.8289612], ""type"": ""Point""}";120;Z3CT16;BOUCLE;3;0;2012-11-27T17:56:08+01:00;2024-10-01T16:25:00+02:00;Bordeaux;33063
44.8163634, -0.5860491;"{""coordinates"": [-0.5860491, 44.8163634], ""type"": ""Point""}";123;Z11CT16;BOUCLE;11;33;2012-11-27T18:08:20+01:00;2024-10-01T16:25:00+02:00;Talence;33522
44.8172041, -0.5856086;"{""coordinates"": [-0.5856086, 44.8172041], ""type"": ""Point""}";124;Z11CT15;BOUCLE;11;24;2012-11-27T18:10:24+01:00;2024-10-01T16:25:00+02:00;Talence;33522
44.8200844, -0.5837542;"{""coordinates"": [-0.5837542, 44.8200844], ""type"": ""Point""}";125;Z11CT8;BOUCLE;11;21;2012-11-27T18:12:28+01:00;2024-10-01T16:25:00+02:00;Talence;33522
44.8170151, -0.5754863;"{""coordinates"": [-0.5754863, 44.8170151], ""type"": ""Point""}";131;Z11CT13;BOUCLE;11;0;2012-11-27T18:20:32+01:00;2024-10-01T16:25:00+02:00;Bordeaux;33063
44.8497527, -0.6029098;"{""coordinates"": [-0.6029098, 44.8497527], ""type"": ""Point""}";132;Z20CT1;BOUCLE;20;;2012-11-27T18:24:16+01:00;2012-11-27T18:24:28+01:00;Bordeaux;33063
44.8564947, -0.6182439;"{""coordinates"": [-0.6182439, 44.8564947], ""type"": ""Point""}";138;Z20CT5;BOUCLE;20;;2012-11-27T18:28:56+01:00;2012-11-27T18:29:12+01:00;Bordeaux;33063
44.8604665, -0.6365486;"{""coordinates"": [-0.6365486, 44.8604665], ""type"": ""Point""}";139;Z20CT4;BOUCLE;20;40;2012-11-27T18:30:36+01:00;2024-10-01T16:25:00+02:00;Bordeaux;33063
44.8759231, -0.6209694;"{""coordinates"": [-0.6209694, 44.8759231], ""type"": ""Point""}";142;Z23CT12;BOUCLE;23;43;2012-11-27T18:42:28+01:00;2024-10-01T16:25:00+02:00;Le Bouscat;33069
44.8830529, -0.6315623;"{""coordinates"": [-0.6315623, 44.8830529], ""type"": ""Point""}";146;Z23CT10;BOUCLE;23;0;2012-11-27T18:46:48+01:00;2024-10-01T16:25:00+02:00;Eysines;33162
44.8539436, -0.5970567;"{""coordinates"": [-0.5970567, 44.8539436], ""type"": ""Point""}";153;Z13CT20;BOUCLE;13;29;2012-11-28T09:48:28+01:00;2024-10-01T16:25:00+02:00;Le Bouscat;33069
44.8544853, -0.5944385;"{""coordinates"": [-0.5944385, 44.8544853], ""type"": ""Point""}";154;Z13CT7;BOUCLE;13;27;2012-11-28T09:49:12+01:00;2024-10-01T16:25:00+02:00;Le Bouscat;33069
44.8522568, -0.5989566;"{""coordinates"": [-0.5989566, 44.8522568], ""type"": ""Point""}";155;Z13CT10;BOUCLE;13;51;2012-11-28T09:50:16+01:00;2024-10-01T16:25:00+02:00;Bordeaux;33063
44.8460137, -0.57922;"{""coordinates"": [-0.57922, 44.8460137], ""type"": ""Point""}";163;Z13CT18;BOUCLE;13;26;2012-11-28T10:04:36+01:00;2024-10-01T16:25:00+02:00;Bordeaux;33063
44.8372804, -0.5895563;"{""coordinates"": [-0.5895563, 44.8372804], ""type"": ""Point""}";166;Z402CT2;BOUCLE;4;1;2012-11-28T10:16:00+01:00;2024-10-01T16:25:00+02:00;Bordeaux;33063
44.8380251, -0.5862987;"{""coordinates"": [-0.5862987, 44.8380251], ""type"": ""Point""}";170;Z402CT5;BOUCLE;4;;2012-11-28T10:19:20+01:00;2012-11-28T10:19:44+01:00;Bordeaux;33063
